Type;DAT category;Platform;purpose for;DAT name;DAT provider name;DAT short Description;DAT provider website;Platform Link;Crop type;Cost Info
crop;Guidance / Controlled Traffic Farming (CTF) technologies;NA;Autosteering;FJD AT1 Autosteering Kit;FJDynamics;FJD AT1 Autosteering Kit uses GNSS and RTK to navigate tractors along straight lines, curves, or concentric circles with sub-inch (2.5cm) accuracy. This auto steer works with a wide array of tractors, harvesters, and other agricultural machines.;https://www.fjdynamics.com/product/fjd-at2-auto-steer-system;NA;all;6.290 euros
crop;Guidance / Controlled Traffic Farming (CTF) technologies;NA;Autosteering;Sveaverken F100 Auto Steer System;Sveasverken;Sveaverken F100 auto steer system helps farmers to realize the vision of cost reduction and efficiency improvement. It reduces the amount of fuel, seed, fertilizer, and pesticides by optimizing the tractor's path through the field. It also increases yield per hectare by eliminating skips and overlaps in the field with RTK precision navigation technology.;https://www.sveaverken.com/products/f100-auto-steer-systemutm_source=google&utm_campaign=2427&utm_medium=cpc-Brand&gclid=CjwKCAiA3KefBhByEiwAi2LDHINNcPP4GXwLATZADq2e9cNj54SShrlbE3ZiVKvlGP7SGnpDzXiLzxoCYWAQAvD_BwE;NA;all;5.100 euros
crop;Guidance / Controlled Traffic Farming (CTF) technologies;NA;Autosteering;FieldBee GPS tractor system;FieldBee ;A simple and affordable tractor navigation and auto steering system for your farm;https://products.fieldbee.com/uk/utm_term=agricultural%20gps%20guidance%20systems&utm_campaign=Search_Categories_NM&utm_source=ga&utm_medium=cpc&hsa_acc=8241340597&hsa_cam=19650867248&hsa_grp=146393769072&hsa_ad=647322757370&hsa_src=g&hsa_tgt=kwd-325766699211&hsa_kw=agricultural%20gps%20guidance%20systems&hsa_mt=p&hsa_net=adwords&hsa_ver=3&gclid=EAIaIQobChMIo7H1kJXb_QIVgwgGAB054gvjEAAYASAAEgK-SPD_BwE#508504786;;All;849 euros 
crop;Guidance / Controlled Traffic Farming (CTF) technologies;NA;GPS Guidance System;JY100 Tractor GNSS Guidance System;SMAJAU;JY100 guidance system consists of professional GNSS smart antenna, large display and guidance software. It would be the ultimate guidance solution for today's precision farmer. soft-ware has farmer-friendly GUI and large iconic buttons for each function. It features navigation access within 3-click ideal for minimal training and guidance experience. JY100 is robust, accurate and affordable enabling you to easily perform various farming tasks, extend your operating hours and enhance the productivity of your farm.;https://www.smajayu.com/;NA;all;1.500 euros
crop;Guidance / Controlled Traffic Farming (CTF) technologies;NA;Autosteering-FMIS ;AgriBus-GMiniR;AgriBus;AgriBus-GMiniR is a powerful GPS receiver and farm management system that provides farmers with real-time data and accurate GPS positioning for a range of farming operations. The system is designed to optimize efficiency, reduce waste, and improve sustainability, with features such as automatic section control, CTF capabilities, and autosteering. The AgriBus-GMiniR, designed for ultra-high precision guidance with AgriBus-NAVI, is equipped with a dual-frequency RTK-GNSS/GPS module from u-blox and is capable of centimeter-level ultra-high precision positioning. The u-blox RTK-GNSS/GPS module can be used as a reference station, and can also be easily switched to a reference station via a dedicated application. The sensor-based path prediction and correction minimize positioning errors. By integrating with a range of agricultural equipment, including tractors and sprayers, the system provides farmers with highly accurate GPS guidance and real-time monitoring, enabling precise control over their operations and minimizing overlaps and soil compaction. The autosteering function further enhances efficiency and accuracy, reducing operator fatigue and the risk of missed areas. Overall, AgriBus-GMiniR is a valuable tool for farmers looking to improve their productivity and profitability while reducing their environmental impact.;https://shop.agri-info-design.com/en-eu;NA;all;1.100 euros
crop;Guidance / Controlled Traffic Farming (CTF) technologies;Smartakis ;GPS Guidance System;AutoTrac Controller;John Deere;Integrated automatic guidance system which can be retrofitted on third party machines;https://www.deere.com/en/technology-products/precision-ag-technology/guidance/auto-trac-controller/;https://www.smart-akis.com/wp-content/uploads/techhtmpdf/1118.htm;all;12.500 euros 
crop;Guidance / Controlled Traffic Farming (CTF) technologies;Smartakis ;GPS;Tractor Implement Automation;John Deere;Simplified operation: e.g. one touch, one baleMaximise throughput and higher productivityRelaxed working and reduced stress for the operatorConsistent bale quality, planting and other work resultsReduced fuel consumption;https://www.deere.co.uk/en/precision-agriculture/automation-systems/tractor-implement-automation/;;all;10.000- 25.000 euros 
crop;Guidance / Controlled Traffic Farming (CTF) technologies;NA;Autosteering;Agribus straight assistance package;AgriBus;The AgriBus straight assistance package by AgriBus is an entry-level model in their automatic steering series that allows farmers to add an automatic steering function to their tractors externally. The system is designed to work seamlessly with the AgriBus-GMiniR GNSS/GPS device to provide ultra-high-precision automatic steering at half the price of similar systems. With the AgriBus straight assistance package, farmers can reduce fatigue and increase efficiency by letting the system work straight without error, freeing them up to focus on other tasks. The system is user-friendly and easy to operate, allowing anyone to use it effectively. An entry model in the Agribus automatic steering series that can add an automatic steering function to your tractor externallyAgribus straight assistance packageWas appeared. Acts ultra-high-precision automatic steering by combining with Agribus-Gminir, a GNSS/GPS device. At half the price so far, it will work straight without an error instead of you. Easy operation, anyone can work and reduce fatigue. Overall, the AgriBus straight assistance package represents a major step forward for precision agriculture, making automatic steering accessible to farmers of all sizes and increasing productivity and profitability in the process.;https://shop.agri-info-design.com/en-euu;NA;all;4.320 euros
crop;Guidance / Controlled Traffic Farming (CTF) technologies;NA;GPS;Trimple GFX 1060 + NAV 500;Tractor GPS;Trimble GFX-750 is the long-expected new navigation display by Trimble and continues a strong tradition of sleek, easytouse displays from Trimble. Thanks to the simplified installation process, the cab will be less cluttered with this automated guidance system. The GFX-750 display comes with a NAV-900 guidance controller. It is Trimble’s most advanced GNSS receiver to date, built for maximum uptime and a wide range of accuracy options from basic to high precision. The GFX-750 display works on most tractor brands or with most implement manufacturers on your farm with ISOBUS control. Ready to work with Trimble Autopilot guidance systems. The Task Controller function with automatic section control, as well as documentation, is fully integrated and easy to use in the working screen. GFX-750 comes with Wi-Fi, Bluetooth, CAN, and for the first time, BroadR-Reach – high-speed communications to allow fast and easy transfer of data between vehicles and the office.;Precision Agriculture Solutions - TractorGPS;NA;all;4.100 euros
crop;Guidance / Controlled Traffic Farming (CTF) technologies;NA;Autosteering;GFX-750, Nav-900, EZ-Pilot Pro, RTK;Tractor GPS;The Trimble GFX-350 display is the most compact display from Trimble Agriculture, perfect for a non intrusive installation in vehicles large and small, including ATVs. Easy to install, this display is built to withstand weather conditions and the tough environment associated with agriculture, whilst bringing modern functionality with an Android operating system, Precision IQ guidance and built in WIFI. The GFX 350 is a perfect introduction to Trimble devices and allows you to configure as you see fit, using its modular licensing and hardware compatibility, its your ideal partner for now and in the future. The EZ-Pilot® Pro guidance system offers high-precision navigation on MFWD, 4WD tractors and combos. The added benefit of the EZ-Pilot Pro is that the vehicles are now able to engage in reverse to better align for the next lap (up to 15 seconds reversing). Adding this feature can allow users to take advantage of a high-precision solution once the accessory touches the ground. With hands-free guidance, the EZ-Pilot Pro system allows you to operate easily and safely on your farm. The electric motor allows unlimited manual driving when the autopilot is not engaged.;Precision Agriculture Solutions - TractorGPS;NA;all;15.000 euros
crop;Guidance / Controlled Traffic Farming (CTF) technologies;NA;Autosteering;EZ-STEER WITH GFX-350;Trimble;The Trimble® GFX-350™ is the latest Android™-based, easy-to-use display from Trimble® Agriculture. This cost-effective solution offers great functionality and a simplified installation process, providing access to autosteering and application control for every farm. Add in Bluetooth® and Wi-Fi connectivity to go along with ISOBUS compatibility and any grower can tackle farming applications from every season across all equipment brands.;https://infrontag.com/trimble;NA;all;6.000 euros
crop;Guidance / Controlled Traffic Farming (CTF) technologies;NA;Autosteering;EZ-STEER WITH GFX-750;Trimble;The Trimble® GFX-350™ is the latest Android™-based, easy-to-use display from Trimble® Agriculture. This cost-effective solution offers great functionality and a simplified installation process, providing access to autosteering and application control for every farm. Add in Bluetooth® and Wi-Fi connectivity to go along with ISOBUS compatibility and any grower can tackle farming applications from every season across all equipment brands. The Trimble® NAV-500™ guidance controller pairs with all GFX series displays. It is especially suited to the GFX-350 display to create a professional level system at a price usually associated with the entry-level market. With the NAV-500™ guidance controller, you get: Compatibility with five (5) satellite constellations: GPS, GLONASS, BeiDou, QZSS, and Galileo Sub-meter accuracy Trimble ViewPoint RTX™ corrections (subscription required). The Trimble™ EZ-Steer® assisted steering system provides simple, portable, hands-free farming for more than 1200 vehicle models – old and new. The EZ-Steer® system turns the steering wheel for you by combining a friction wheel and a motor with guidance from any Trimble™ display. It keeps your vehicle online for efficient, low stress steering capabilities for your farming applications. This is a complete EZ-Steer Base kit for an EZ-Guide 250 and EZ-Guide 500.  The EZ-Guide 250 will require in addition a 4 Pin CAN Cable PN 65536.  Each system will require a vehicle specific bracket and if you are having trouble finding this for your vehicle please contact us directly.;https://infrontag.com/trimble;NA;all;7.000 euros
crop;Guidance / Controlled Traffic Farming (CTF) technologies;NA;Autosteering;Outback Rebel Row-Crop;REBEL;All-in-one REBEL™ comes fully-loaded with everything you need for the farming you do at one price No hidden fees or extra unlocks for critical software Easy setup for your equipment Always connected with built-in WiFi Always current with wireless updates of your software Simple-to-use with short-cut keys, LED power button, pinch-to-zoom;https://www.a2bguidance.com/guidance/outback-rebel/outback-rebel-row-crop.html;NA;all;10.000 euros
crop;Guidance / Controlled Traffic Farming (CTF) technologies;NA;Autosteering - VRA seed and fertilizer ;System 350 with X30 Control Console;Topcon;The Topcon System 350 with X30 Control Console is a precision farming technology platform that offers a range of tools and features for optimizing planting, fertilization, and harvesting operations. The system includes an advanced control console with autosteer and section control capabilities, yield monitoring, and data management and analysis tools. The System 350 with X30 Control Console is designed to help farmers improve farm efficiency and productivity through precision farming practices.;https://www.topconagriculture.com/;NA;all;15.000 - 25.000 euros
crop;Guidance / Controlled Traffic Farming (CTF) technologies;NA;Autosteering;Trimble Autopilot;Trimble;Trimble Autopilot is a high-precision, automated steering system that offers advanced guidance capabilities for a wide range of agricultural vehicles. It is compatible with many makes and models of tractors, combines, and other farm machinery. The system integrates with the vehicle's hydraulics to provide highly accurate steering control, allowing for optimal field navigation and pass-to-pass repeatability. Trimble Autopilot offers different levels of accuracy, depending on the GPS correction source used, and supports various guidance patterns, enabling farmers to minimize field overlap, save on input costs, and reduce soil compaction.;https://agriculture.trimble.com/en;NA;all;10.000 - 25.000 euros 
crop;Guidance / Controlled Traffic Farming (CTF) technologies;NA;Autosteering;John Deere AutoTrac;John Deere;John Deere AutoTrac is an automated steering and guidance system designed for use with John Deere and compatible non-John Deere equipment. AutoTrac provides precise and consistent steering control for a range of farming tasks, including planting, spraying, and harvesting. It utilizes GPS technology to maintain the desired guidance path and reduces operator fatigue by automating steering. AutoTrac is compatible with different levels of accuracy, depending on the GPS correction source used, and offers several guidance patterns. By implementing John Deere AutoTrac, farmers can improve efficiency, reduce input costs and minimize soil compaction.;https://www.deere.gr/el/smart-farming-solutions/guidance-solutions/autotrac/;NA;all;10.000 - 25.000 euros 
crop;Reacting or Variable Rate Technologies (VRT);NA;Management Zones & VRA Maps;Management Zones & VRA Maps;GeoPard Agriculture;GeoPard Agriculture Management Zones & VRA Maps is a technology used in precision agriculture. It helps farmers to optimize crop production by providing a detailed analysis of their fields and dividing them into different management zones based on various factors such as soil type, topography, and previous crop yields. The VRA (Variable Rate Application) maps provide recommendations for fertilizer and pesticide application, ensuring that the right amount of resources are used in the right place at the right time, leading to higher yields and reduced costs.;https://geopard.tech/management-zones-vra-maps/;NA;all;260 euros/year
crop;Reacting or Variable Rate Technologies (VRT);NA;fertilization;M42 ISOBUS SECTION CONTROL 2.0;Teagle;The range topping M42 ISO offers even greater spreading flexibility and accuracy thanks to the SECTION CONTROL 2.0 system (16 sections).;https://www.teagle.co.uk/en-GB/;NA;all;22.300 euros
crop;Reacting or Variable Rate Technologies (VRT);Smartakis ;irrigation ;UgMO Soil Moisture Sensor System;UgMO;The system becomes your outdoor water manager by controlling the irrigation system and monitoring soil moisture. Utilizing real time soil moisture sensor data on a zone-by-zone basis, UgMO always applies the optimal amount of water. Typically achieving irrigation water savings of 30-50%, the UG1000 System redefines smart irrigation management. With the power and flexibility of the new SenLink™ wireless-sensor-network technology, the UG1000 is designed for non-disruptive installation and ease of use. Wireless Sensors are buried in the active root zone completely below ground to measure soil moisture levels at the roots of the plant in real-time, up to six times an hour, 24 hours a day. The sensor data is then wirelessly transmitted to the UgMO Irrigation Controller.;https://ugmo.com/solutions/;https://smart-akis.com/SFCPPortal/#/app-h/technologiestechid=1391;all;500-1000 euros
crop;Reacting or Variable Rate Technologies (VRT);NA;spraying;Geoline CS260 Sprayer Control System;Tractor GPS;The Sprayer Control System 260 CS is a sophisticated technology that offers several features to help farmers optimize their pesticide and fertilizer spraying operations. With up to 7 section valves and 9 hydraulic valves, the system enables precise control of spraying, while offering both automatic and manual operation modes. The system also comes with a large, rear-lit LCD graphic display that is easy to read in all lighting conditions, and can be connected to optional sat nav for even greater precision. The Sprayer Control System 260 CS also includes features such as USB connectivity for data exchange and software updating, customizable nozzle parameters, and visual and acoustic alarms for safety and efficiency. With integrated diagnostic tools and the ability to manage several parameters, such as pressure, speed, and tank level, the system provides farmers with real-time data and insights for optimized spraying operations.;https://tractorgps.gr/en/ ;NA;all;3.000 euros
